Field ID,Label,Kind,Data type,Format,Option value,Option text,Where this option came from,Long-term loans using it,Known drift
4008,Borrower Vesting Type,standard,String,STRING,Settlor,Settlor,declared by Encompass,0,
4008,Borrower Vesting Type,standard,String,STRING,Title Only Settlor Trustee,Title Only Settlor Trustee,declared by Encompass,0,
4008,Borrower Vesting Type,standard,String,STRING,Officer,Officer,declared by Encompass,477,
4195,Borr Do Not Wish Indicator,standard,Boolean,YN,Y,I do not wish to provide this information,declared by Encompass,183,boolean-representation
4195,Borr Do Not Wish Indicator,standard,Boolean,YN,N,No,declared by Encompass,306,boolean-representation
4662,Print Trust Name(s) on LE/CD Addendum,standard,Boolean,YN,Y,Yes,declared by Encompass,489,boolean-representation
4662,Print Trust Name(s) on LE/CD Addendum,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
4714,Property is not located in a project Indicator,standard,Boolean,YN,Y,Yes,declared by Encompass,482,boolean-representation
4714,Property is not located in a project Indicator,standard,Boolean,YN,N,No,declared by Encompass,7,boolean-representation
CPA.RetainUserInputs,CPA Escrow Details - Retain User Inputs,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
CPA.RetainUserInputs,CPA Escrow Details - Retain User Inputs,standard,Boolean,YN,N,No,declared by Encompass,489,boolean-representation
HMDA.X39,Manufactured Secured Property Type,standard,String,STRING,Manufactured home and land,1. Manufactured home and land,declared by Encompass,0,
HMDA.X39,Manufactured Secured Property Type,standard,String,STRING,Manufactured home and not land,2. Manufactured home and not land,declared by Encompass,0,
HMDA.X39,Manufactured Secured Property Type,standard,String,STRING,Not applicable,3. Not applicable,declared by Encompass,489,
HMDA.X39,Manufactured Secured Property Type,standard,String,STRING,Exempt,1111. Exempt,declared by Encompass,0,
HMDA.X40,Manufactured Home Land Property Interest,standard,String,STRING,Direct ownership,1. Direct ownership,declared by Encompass,0,
HMDA.X40,Manufactured Home Land Property Interest,standard,String,STRING,Indirect ownership,2. Indirect ownership,declared by Encompass,0,
HMDA.X40,Manufactured Home Land Property Interest,standard,String,STRING,Paid leasehold,3. Paid leasehold,declared by Encompass,0,
HMDA.X40,Manufactured Home Land Property Interest,standard,String,STRING,Unpaid leasehold,4. Unpaid leasehold,declared by Encompass,0,
HMDA.X40,Manufactured Home Land Property Interest,standard,String,STRING,Not applicable,5. Not applicable,declared by Encompass,489,
HMDA.X40,Manufactured Home Land Property Interest,standard,String,STRING,Exempt,1111. Exempt,declared by Encompass,0,
LE3.X12,Loan Estimate - Assumption,standard,String,STRING,WillAllowAssumption,"will allow, under certain conditions, this person to assume this loan on the original terms.",declared by Encompass,0,
LE3.X12,Loan Estimate - Assumption,standard,String,STRING,WillNotAllowAssumption,will not allow assumption of this loan on the original terms.,declared by Encompass,489,
NEWHUD.X354,Use New GFE And HUD,standard,Boolean,YN,Y,Yes,declared by Encompass,489,boolean-representation
NEWHUD.X354,Use New GFE And HUD,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
PAYMENTTABLE.USEACTUALPAYMENTCHANGE,Projected Payment Table - Use Actual Payment Change,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
PAYMENTTABLE.USEACTUALPAYMENTCHANGE,Projected Payment Table - Use Actual Payment Change,standard,Boolean,YN,N,No,declared by Encompass,489,boolean-representation
QM.X384,ATR QM - Eligibility - Results of the QM APR to APOR Test,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,14,
QM.X384,ATR QM - Eligibility - Results of the QM APR to APOR Test,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,409,
QM.X384,ATR QM - Eligibility - Results of the QM APR to APOR Test,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,66,
SYS.X116,Fees MI Applic Fee APR,standard,Boolean,YN,Y,Yes,declared by Encompass,489,boolean-representation
SYS.X116,Fees MI Applic Fee APR,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
SYS.X17,Fees Loan Origination Fee APR,standard,Boolean,YN,Y,Yes,declared by Encompass,489,boolean-representation
SYS.X17,Fees Loan Origination Fee APR,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
SYS.X252,Fees Loan Origination Fee Paid To,standard,String,STRING,Broker,B,declared by Encompass,0,
SYS.X252,Fees Loan Origination Fee Paid To,standard,String,STRING,Lender,L,declared by Encompass,489,
SYS.X252,Fees Loan Origination Fee Paid To,standard,String,STRING,Seller,S,declared by Encompass,0,
SYS.X252,Fees Loan Origination Fee Paid To,standard,String,STRING,Investor,I,declared by Encompass,0,
